age,month_income,employment_length,home_ownership,loan_intent,loan_amount,loan_interest_rate,previous_loans,previous_default,loan_grade,loan_status
22,59000,123,RENT,PERSONAL,35000,16.02,3,YES,D,0
21,9600,5,OWN,EDUCATION,1000,11.14,2,NO,B,1
25,9600,1,MORTGAGE,MEDICAL,5500,12.87,3,NO,C,0
23,65500,4,RENT,MEDICAL,35000,15.23,2,NO,C,0
24,54400,8,RENT,MEDICAL,35000,14.27,4,YES,C,0
21,9900,2,OWN,VENTURE,2500,7.14,2,NO,A,0
26,77100,8,RENT,EDUCATION,35000,12.42,3,NO,B,0
24,78956,5,RENT,MEDICAL,35000,11.11,4,NO,B,0
24,83000,8,RENT,PERSONAL,35000,8.9,2,NO,A,0
21,10000,6,OWN,VENTURE,1600,14.74,3,NO,D,0
22,85000,6,RENT,VENTURE,35000,10.37,4,NO,B,0
21,10000,2,OWN,HOME_IMPROVEMENT,4500,8.63,2,NO,A,0
23,95000,2,RENT,VENTURE,35000,7.9,2,NO,A,0
26,108160,4,RENT,EDUCATION,35000,18.39,4,NO,E,0
23,115000,2,RENT,EDUCATION,35000,7.9,4,NO,A,1
23,500000,7,MORTGAGE,DEBT_CONSOLIDATION,30000,10.65,3,NO,B,1
23,120000,0,RENT,EDUCATION,35000,7.9,4,NO,A,1
23,92111,7,RENT,MEDICAL,35000,20.25,4,NO,F,0
23,113000,8,RENT,DEBT_CONSOLIDATION,35000,18.25,4,NO,D,0
24,10800,8,MORTGAGE,EDUCATION,1750,10.99,2,NO,B,0
25,162500,2,RENT,VENTURE,35000,7.49,4,NO,A,1
25,137000,9,RENT,PERSONAL,34800,16.77,2,YES,E,1
22,65000,4,RENT,EDUCATION,34000,17.58,4,NO,D,0
24,10980,0,OWN,PERSONAL,1500,7.29,3,NO,A,1
22,80000,3,RENT,PERSONAL,33950,14.54,4,YES,D,0
24,67746,8,RENT,HOME_IMPROVEMENT,33000,12.68,3,NO,C,0
